insert into PRODUCT values('dryfruit01','Cashew','2013-2-1','2013-12-1','Virat','100','25000','250');
insert into PRODUCT values('body08','Listerine','2013-2-1','2013-12-1','Raghu','100','5000','50');
insert into PRODUCT values('body09','Lifebuoy Hand Wash','2013-2-1','2013-12-1','Raghu','100','4000','40');
insert into PRODUCT values('body10','Fair and Lovely','2013-2-1','2013-12-1','Raghu','100','3000','30');

insert into PRODUCT values('packet01','Tata Tea Gold','2013-2-1','2013-12-1','Nikhil','100','4000','40');
insert into PRODUCT values('packet02','Nescafe','2013-2-1','2013-12-1','Nikhil','100','3500','35');
insert into PRODUCT values('packet03','Cornflakes','2013-2-1','2013-12-1','Nikhil','100','9000','90');
insert into PRODUCT values('packet04','Oats','2013-2-1','2013-12-1','Nikhil','100','9000','90');
insert into PRODUCT values('packet05','Garam Masala','2013-2-1','2013-12-1','Nikhil','100','4000','40');

insert into PRODUCT values('home01','Comfort','2013-2-1','2013-12-1','Praveen','100','4000','40');
insert into PRODUCT values('home02','Harpic','2013-2-1','2013-12-1','Praveen','100','3500','35');
insert into PRODUCT values('home03','Odonil','2013-2-1','2013-12-1','Praveen','100','2000','20');
insert into PRODUCT values('home04','Pril','2013-2-1','2013-12-1','Praveen','100','3000','30');
insert into PRODUCT values('home05','Tide','2013-2-1','2013-12-1','Praveen','100','4000','40');

insert into PRODUCT values('dairy01','Ghee','2013-2-1','2013-12-1','Praveen','100','14000','140');
insert into PRODUCT values('dairy02','Ice Chocobar','2013-2-1','2013-12-1','Praveen','100','2000','20');
insert into PRODUCT values('dairy03','Ice Vanilla','2013-2-1','2013-12-1','Praveen','100','2000','20');
insert into PRODUCT values('dairy04','Ice Strawberry','2013-2-1','2013-12-1','Praveen','100','2200','22');
insert into PRODUCT values('dairy05','Cheese','2013-2-1','2013-12-1','Praveen','100','8000','80');

insert into PRODUCT values('snack01','Bingo','2013-2-1','2013-12-1','Praveen','100','14000','140');
insert into PRODUCT values('snack02','Biscuit','2013-2-1','2013-12-1','Praveen','100','2000','20');
insert into PRODUCT values('snack03','Maggi','2013-2-1','2013-12-1','Praveen','100','2000','20');
insert into PRODUCT values('snack04','Milk Biscuits','2013-2-1','2013-12-1','Praveen','100','2200','22');
insert into PRODUCT values('snack05','Pasta','2013-2-1','2013-12-1','Praveen','100','8000','80');
